freq,indic_eu,geo\TIME_PERIOD	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	TARGET_FLAG,TARGET
A,T2020_35I05,AT	99 	96.5 	93 	91.9 	89.1 	91 	87.5 	86.6 	88.1 	84.8 	86.7 	89 	90.9 	88.5 	89.3 p	,84.0
A,T2020_35I05,BE	99.2 	97.6 	96.5 	99.5 	95.3 	99.1 	92.4 	92.8 	92.5 	87.2 	90.6 	92.2 	88.2 	92.5 	92.5 p	,85.0
A,T2020_35I05,BG	118.4 	120.7 	123.6 	121.8 	110.9 	115.9 	110.6 	110.8 	100.5 	103.5 	114.6 	115.7 	119.9 	119.1 	122.6 p	,120.0
A,T2020_35I05,CY	102.7 	103.4 	108.4 	107.7 	107 	106.4 	109.2 	101.4 	94.2 	93.7 	97 	98.2 	102 	99.5 	102.9 p	,95.0
A,T2020_35I05,CZ	101.9 	102.2 	98.6 	102.9 	99.5 	101.2 	100.9 	102.1 	99.7 	93.5 	99.4 	101.9 	101.2 	98.3 	109.9 p	,109.0
A,T2020_35I05,DE	99.6 	100.6 	92.3 	98 	93.8 	96.3 	92.6 	93.4 	96.3 	91.4 	92.9 	95.1 	97.7 	90.8 	92 p	,86.0
A,T2020_35I05,DK	100 	99.9 	100.2 	98.4 	94.3 	95 	91.5 	88.3 	84.1 	81.4 	81.1 	82.6 	81.5 	82.7 	81.1 p	,80.0
A,T2020_35I05,EE	113.1 	109.4 	118.7 	116.6 	113.1 	119.8 	115.1 	118.3 	106 	112 	113.1 	114.6 	114.4 	112.8 	120.3 p	,111.0
A,T2020_35I05,EL	99.5 	95.5 	95.3 	94.7 	93.2 	89.4 	86.4 	77.4 	70.6 	71 	72.7 	71.8 	72.7 	71.5 	70.8 p	,96.0
A,T2020_35I05,ES	101.4 	102.8 	104.6 	100.1 	94.8 	95.4 	90.6 	86.7 	84.9 	84.6 	83.1 	84.1 	85.2 	86 	85.1 p	,90.0
A,T2020_35I05,EU27_2020	100 	99.8 	97.3 	98.5 	94.8 	96.6 	93 	91.9 	90.2 	87.2 	88.8 	89.9 	91.2 	89.9 	89.8 p	,
A,T2020_35I05,EU28	99.9 	99.2 	96.7 	97.5 	93.5 	95.5 	91.3 	90.6 	88.9 	85.8 	87.3 	88.5 	89.5 	88.3 	88.1 p	,90.7
A,T2020_35I05,FI	100.1 	100.3 	101.5 	97.4 	94.3 	98.7 	94.2 	94.6 	93.1 	88.8 	88.1 	92.4 	88.6 	88.1 	86.4 p	,84.0
A,T2020_35I05,FR	99.4 	97.7 	95.3 	95.5 	94.3 	95.2 	90.7 	91.4 	91.9 	88.8 	88.6 	88.4 	88.6 	85.9 	85.7 p	,86.0
A,T2020_35I05,HR	100.3 	102.2 	104 	104.1 	99.3 	100.4 	99.1 	93.6 	86.9 	84.2 	89.5 	92 	95.8 	93.2 	96.6 p	,111.0
A,T2020_35I05,HU	95.4 	94.7 	90.2 	90.1 	87.6 	87.1 	84.8 	79.7 	80 	80 	86.3 	87.6 	89.8 	90.1 	90.5 p	,110.0
A,T2020_35I05,IE	99.5 	99.2 	98.5 	99.1 	93.7 	92.4 	87.1 	86.1 	89.7 	88.5 	91.4 	93.1 	93.1 	96.4 	94.7 p	,80.0
A,T2020_35I05,IT	100.5 	98.6 	97 	97.1 	91.5 	93.1 	90 	87.8 	81.7 	79.3 	81.7 	80.9 	80.8 	83.3 	81.4 p	,87.0
A,T2020_35I05,LT	85 	88.2 	103.9 	98.5 	85 	87.5 	95.8 	96.9 	93.9 	97.5 	100 	105 	106.6 	107.8 	108.4 p	,115.0
A,T2020_35I05,LU	99.4 	96.7 	92.5 	96 	89.8 	94.9 	95.7 	93.7 	92.4 	87.3 	84.9 	84 	86.1 	89.4 	90.9 p	,80.0
A,T2020_35I05,LV	100 	104.7 	111.1 	106.8 	101.8 	105.6 	100 	100.1 	102.8 	105.6 	105.5 	106.7 	108.2 	106.9 	105.9 p	,117.0
A,T2020_35I05,MT	89.7 	93.8 	98.8 	94.9 	89.8 	99 	95 	103.5 	112 	115.6 	116.5 	119.2 	128.1 	123.9 	123.9 p	,105.0
